"period","seriesId","seriesDescription","unit","DC_value","MD_value","VA_value"
"2023","TNRCB","End-use energy consumption in the residential sector","Billion Btu",19773,192899,271267
"2023","TNACB","End-use energy consumption in the transportation sector","Billion Btu",15670,417006,756294
"2023","TEGDS","Energy expenditures as percent of current-dollar GDP","Percent",1.44,4.59,5.48
"2023","BDLCB","Energy losses and co-products from the production of biodiesel","Billion Btu",0,0,2
"2023","BFLCB","Energy losses and co-products from the production of biofuels","Billion Btu",0,0,2
"2023","EMLCB","Energy losses and co-products from the production of fuel ethanol","Billion Btu",0,0,0
"2023","EQICB","Ethane consumed by the industrial sector","Billion Btu",0,0,0
"2023","EQICP","Ethane consumed by the industrial sector","Thousand barrels",0,0,0
"2023","EQTCB","Ethane total consumption","Billion Btu",0,0,0
"2023","EQTCP","Ethane total consumption","Thousand barrels",0,0,0
"2023","EYICP","Ethylene from refineries consumed by the industrial sector","Thousand barrels",0,0,0
"2023","EYICB","Ethylene from refineries consumed by the industrial sector","Billion Btu",0,0,0
"2023","EYTCP","Ethylene from refineries total consumption","Thousand barrels",0,0,0
"2023","EYTCB","Ethylene from refineries total consumption","Billion Btu",0,0,0
"2023","BDEIK","Factor for converting biodiesel consumed by the electric power sector from physical units to Btu","Million Btu per barrel",0,0,4.98
"2023","BDTCK","Factor for converting biodiesel total consumption from physical units to Btu","Million Btu per barrel",5.359,5.359,5.359
"2023","CLKCK","Factor for converting coal consumed at coke plants from physical units to Btu","Million Btu per short ton",0,0,29.126
"2023","CLOCK","Factor for converting coal consumed by industrial users other than coke plants from physical units to Btu","Million Btu per short ton",0,23.044,26.045
"2023","CLEIK","Factor for converting coal consumed by the electric power sector from physical units to Btu","Million Btu per short ton",0,24.134,19.457
"2023","CLHCK","Factor for converting coal consumed by the residential and commercial sectors from physical units to Btu","Million Btu per short ton",0,0,25.946
"2023","CLACK","Factor for converting coal consumed by the transportation sector from physical units to Btu","Million Btu per short ton",0,0,0
"2023","CLPRK","Factor for converting coal production from physical units to Btu","Million Btu per short ton",0,23.811,26.619
"2023","COPRK","Factor for converting crude oil production from physical units to Btu for the United States","Million Btu per barrel",0,0,5.689
"2023","NGMPK","Factor for converting marketed natural gas production from physical units to Btu","Thousand Btu per cubic feet",0,1.039,1.05
"2023","NGEIK","Factor for converting natural gas consumed by the electric power sector from physical units to Btu","Thousand Btu per cubic foot",0,1.039,1.043
"2023","NGTCK","Factor for converting natural gas total consumption from physical units to Btu","Thousand Btu per cubic foot",1.033,1.039,1.05
"2023","NGTXK","Factor for converting natural gas used by end-use sectors from physical units to Btu","Thousand Btu per cubic foot",1.033,1.039,1.059
"2023","FFTCE","Fossil fuel CO2 emissions for all sectors","Million metric tons CO2",2.5,48.6,94.6
"2023","FFCCE","Fossil fuel CO2 emissions for the commercial sector","Million metric tons CO2",0.9,5,5.7
"2023","FFEIE","Fossil fuel CO2 emissions for the electric power sector","Million metric tons CO2",0,8.3,21.4
"2023","FFICE","Fossil fuel CO2 emissions for the industrial sector","Million metric tons CO2",0,2.5,10.8
"2023","FFRCE","Fossil fuel CO2 emissions for the residential sector","Million metric tons CO2",0.6,5.3,5.7
"2023","FFACE","Fossil fuel CO2 emissions for the transportation sector","Million metric tons CO2",1,27.5,51
"2023","FFGBP","Fossil fuel total generating units net summer capacity in all sectors","Thousand kilowatts",21,8742,15994
"2023","FFTCB","Fossil fuels total consumption","Billion Btu",43528,764803,1510329
"2023","EMFDB","Fuel ethanol production (total biomass inputs as feedstock), including liquids and losses & co-products","Billion Btu",0,0,0
"2023","ENPRP","Fuel ethanol production, including denaturant","Thousand barrels",0,0,0
"2023","EMCCB","Fuel ethanol, excluding denaturant, consumed by the commercial sector ","Billion Btu",29,685,880
"2023","EMICB","Fuel ethanol, excluding denaturant, consumed by the industrial sector ","Billion Btu",14,221,289
"2023","EMACB","Fuel ethanol, excluding denaturant, consumed by the transportation sector   ","Billion Btu",854,20746,33982
"2023","EMTCB","Fuel ethanol, excluding denaturant, total consumption","Billion Btu",898,21652,35151
"2023","ENCCP","Fuel ethanol, including denaturant, consumed by the commercial sector","Thousand barrels",8,197,253
"2023","ENICP","Fuel ethanol, including denaturant, consumed by the industrial sector","Thousand barrels",4,63,83
"2023","ENACP","Fuel ethanol, including denaturant, consumed by the transportation sector","Thousand barrels",246,5962,9766
"2023","ENTCP","Fuel ethanol, including denaturant, total consumption","Thousand barrels",258,6222,10102
"2023","GEEGP","Geothermal electricity net generation in the electric power sector","Million kilowatthours",0,0,0
"2023","GECCB","Geothermal energy consumed by the commercial sector","Billion Btu",0,0,885
"2023","GEICB","Geothermal energy consumed by the industrial sector","Billion Btu",0,0,0
"2023","GERCB","Geothermal energy consumed by the residential sector","Billion Btu",22,570,816
"2023","GEEGB","Geothermal energy consumed for electricity generation by the electric power sector","Billion Btu",0,0,0
"2023","GETCB","Geothermal energy total consumption","Billion Btu",22,570,1701
"2023","GETXB","Geothermal energy total end-use consumption","Billion Btu",22,570,1701
"2023","GECAS","Geothermal generating units capacity factor","Percent",0,0,0
"2023","GEGBP","Geothermal generating units net summer capacity in all sectors","Thousand kilowatts",0,0,0
"2023","ZWHDP","Heating degree days (HDD)","Days",3272,3827,3632
"2023","HLTXD","Hydrocarbon gas liquids average price, all end-use sectors","Dollars per million Btu",26.28,27.78,26.27
"2023","HLTCD","Hydrocarbon gas liquids average price, all sectors","Dollars per million Btu",26.28,27.78,26.27
"2023","HLRFB","Hydrocarbon gas liquids consumed as refinery fuel and intermediate products","Billion Btu",0,0,0
"2023","HLCCB","Hydrocarbon gas liquids consumed by the commercial sector","Billion Btu",4,2661,6875
"2023","HLCCP","Hydrocarbon gas liquids consumed by the commercial sector","Thousand barrels",1,693,1790
"2023","HLICP","Hydrocarbon gas liquids consumed by the industrial sector","Thousand barrels",8,426,837
"2023","HLICB","Hydrocarbon gas liquids consumed by the industrial sector","Billion Btu",29,1635,3215
"2023","HLISB","Hydrocarbon gas liquids consumed by the industrial sector adjusted for processed fuel","Billion Btu",29,1635,3215
"2023","HLRCP","Hydrocarbon gas liquids consumed by the residential sector","Thousand barrels",9,1520,2981
"2023","HLRCB","Hydrocarbon gas liquids consumed by the residential sector","Billion Btu",34,5839,11451
"2023","HLACP","Hydrocarbon gas liquids consumed by the transportation sector","Thousand barrels",0,45,53
"2023","HLACB","Hydrocarbon gas liquids consumed by the transportation sector","Billion Btu",0,173,202
"2023","HLCCV","Hydrocarbon gas liquids expenditures in the commercial sector","Million dollars",0.1,48.3,118
"2023","HLICV","Hydrocarbon gas liquids expenditures in the industrial sector","Million dollars",0.5,27.9,50.1
"2023","HLRCV","Hydrocarbon gas liquids expenditures in the residential sector","Million dollars",1.2,206.5,399
"2023","HLACV","Hydrocarbon gas liquids expenditures in the transportation sector","Million dollars",0,3.7,4
"2023","HLCCD","Hydrocarbon gas liquids price in the commercial sector","Dollars per million Btu",18.14,18.14,17.17
"2023","HLICD","Hydrocarbon gas liquids price in the industrial sector","Dollars per million Btu",17.08,17.08,15.6
"2023","HLRCD","Hydrocarbon gas liquids price in the residential sector","Dollars per million Btu",35.22,35.36,34.84
"2023","HLACD","Hydrocarbon gas liquids price in the transportation sector","Dollars per million Btu",18.86,21.2,19.87
"2023","HLTCB","Hydrocarbon gas liquids total consumption","Billion Btu",68,10308,21742
"2023","HLTCP","Hydrocarbon gas liquids total consumption","Thousand barrels",18,2684,5661
"2023","HLSCB","Hydrocarbon gas liquids total consumption adjusted for processed fuel","Billion Btu",68,10308,21742
"2023","HLTXB","Hydrocarbon gas liquids total end-use consumption","Billion Btu",68,10308,21742
"2023","HLTXP","Hydrocarbon gas liquids total end-use consumption","Thousand barrels",18,2684,5661
"2023","HLTXV","Hydrocarbon gas liquids total end-use expenditures","Million dollars",1.8,286.3,571.2
"2023","HLTCV","Hydrocarbon gas liquids total expenditures","Million dollars",1.8,286.3,571.2
"2023","HPGBP","Hydroelectric pumped storage generating units net summer capacity in all sectors","Thousand kilowatts",0,0,3253
"2023","HPCAS","Hydroelectric pumped storage generating units usage factor","Percent",0,0,14.6
"2023","HYCCP","Hydroelectricity net generation in the commercial sector","Million kilowatthours",0,0,0
"2023","HYEGP","Hydroelectricity net generation in the electric power sector","Million kilowatthours",0,1849,1390
"2023","HYICP","Hydroelectricity net generation in the industrial sector","Million kilowatthours",0,0,0
"2023","HYTCP","Hydroelectricity total net generation","Million kilowatthours",0,1849,1391
"2023","HYTXP","Hydroelectricity, total end-use net generation","Million kilowatthours",0,0,0
"2023","HYCCB","Hydropower consumed by the commercial sector","Billion Btu",0,0,0
"2023","HYICB","Hydropower consumed by the industrial sector","Billion Btu",0,0,1
"2023","HYEGB","Hydropower consumed for electricity generation by the electric power sector","Billion Btu",0,6309,4744
"2023","HYTXB","Hydropower energy total end-use consumption","Billion Btu",0,0,1
"2023","HYTCB","Hydropower total consumption","Billion Btu",0,6309,4745
"2023","IQICP","Isobutane consumed by the industrial sector","Thousand barrels",0,0,0
"2023","IQICB","Isobutane consumed by the industrial sector","Billion Btu",0,0,0
"2023","IQTCP","Isobutane total consumption","Thousand barrels",0,0,0
"2023","IQTCB","Isobutane total consumption","Billion Btu",0,0,0
"2023","IYICP","Isobutylene from refineries consumed by the industrial sector","Thousand barrels",0,0,0
"2023","IYICB","Isobutylene from refineries consumed by the industrial sector","Billion Btu",0,0,0
"2023","IYTCP","Isobutylene from refineries total consumption","Thousand barrels",0,0,0
"2023","IYTCB","Isobutylene from refineries total consumption","Billion Btu",0,0,0
"2023","JFTXD","Jet fuel average price, all end-use sectors","Dollars per million Btu",0,21.46,20.1
"2023","JFTCD","Jet fuel average price, all sectors","Dollars per million Btu",0,21.46,20.1
"2023","JFACB","Jet fuel consumed by the transportation sector","Billion Btu",0,38062,114487
"2023","JFACP","Jet fuel consumed by the transportation sector","Thousand barrels",0,6713,20192
"2023","JFACV","Jet fuel expenditures in the transportation sector","Million dollars",0,816.7,2301.1
"2023","JFACD","Jet fuel price in the transportation sector","Dollars per million Btu",0,21.46,20.1
"2023","JFTCB","Jet fuel total consumption","Billion Btu",0,38062,114487
"2023","JFTCP","Jet fuel total consumption","Thousand barrels",0,6713,20192
"2023","JFTXP","Jet fuel total end-use consumption","Thousand barrels",0,6713,20192
"2023","JFTXB","Jet fuel total end-use consumption","Billion Btu",0,38062,114487
"2023","JFTXV","Jet fuel total end-use expenditures","Million dollars",0,816.7,2301.1
